timestamp,amount,type,source,government_id
2025-12-19T20:01:47.751317,0.47,delivery_status,simulated,GOV-SIM-1766167307
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-5872162045
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-5157554071
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-3109629887
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-6522013023
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-5107169040
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-9797435942
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-5466781609
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-1601490642
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-3977153937
2025-12-19T20:02:01Z,0.47,delivery_status,simulated,GOV-REVENUE-9055480564
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-7647808148
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-6033794672
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-7431601236
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-3548745880
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-3004811031
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-7712311826
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-2036485750
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-7455783753
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-3406023711
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-0393181661
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-3244547163
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-0249301106
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-4420757682
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-4371371284
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-3001910848
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-6133657625
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-5372562281
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-1820881644
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-6158674234
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-7256424790
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-2431661037
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-9226240280
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-5854661409
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-1993222938
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-0692408242
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-3454346666
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-3568105966
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-0845740235
2025-12-19T20:02:02Z,0.47,delivery_status,simulated,GOV-REVENUE-1269643160
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-1449738290
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-2176887251
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-5367526135
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-5024833148
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-4401524371
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-9793721488
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-9377474024
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-9623943323
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-9882060312
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-2678413906
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-5460759805
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-6399353341
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-5934497053
2025-12-19T20:02:03Z,0.47,delivery_status,simulated,GOV-REVENUE-1130400098
